# Timestamp(ns);pedal_cmd
1687075028544822528.000000;0.000000
1687075028547374336.000000;0.000000
1687075028548699904.000000;0.000000
1687075028549372416.000000;0.000000
1687075028549897984.000000;0.000000
1687075028550456320.000000;0.000000
1687075028550973184.000000;0.000000
1687075028551334144.000000;0.000000
1687075028551668480.000000;0.000000
1687075028552065536.000000;0.000000
1687075028553140224.000000;0.000000
1687075028563297024.000000;0.000000
1687075028573405696.000000;0.000000
1687075028583432704.000000;0.000000
1687075028593278208.000000;0.000000
1687075028602941440.000000;0.000000
1687075028614344448.000000;0.000000
1687075028623166720.000000;0.000000
1687075028632843520.000000;0.000000
1687075028643069184.000000;0.000000
1687075028653606144.000000;0.000000
1687075028664881408.000000;0.000000
1687075028673938176.000000;0.000000
1687075028683588608.000000;0.000000
1687075028693550080.000000;0.000000
1687075028706366208.000000;0.000000
1687075028717298432.000000;0.000000
1687075028723869696.000000;0.000000
1687075028733342976.000000;0.000000
1687075028744091648.000000;0.000000
1687075028754734080.000000;0.000000
1687075028764116992.000000;0.000000
1687075028773107456.000000;0.000000
1687075028785464832.000000;0.000000
1687075028793843456.000000;0.000000
1687075028804920832.000000;0.000000
1687075028814066176.000000;0.000000
1687075028823428608.000000;0.000000
1687075028840841984.000000;0.000000
1687075028844396032.000000;0.000000
1687075028853232640.000000;0.000000
1687075028872976384.000000;0.000000
1687075028876830464.000000;0.000000
1687075028882949888.000000;0.000000
1687075028898256896.000000;0.000000
1687075028903494912.000000;0.000000
1687075028913845248.000000;0.000000
1687075028923194624.000000;0.000000
1687075028934246656.000000;0.000000
1687075028943968000.000000;0.000000
1687075028954879232.000000;0.000000
1687075028964466432.000000;0.000000
1687075028974515712.000000;0.000000
1687075028984652032.000000;0.000000
1687075028993698560.000000;0.000000
1687075029005175296.000000;0.000000
1687075029015414528.000000;0.000000
1687075029023201024.000000;0.000000
1687075029034704384.000000;0.000000
1687075029046482688.000000;0.000000
1687075029053255680.000000;0.000000
1687075029063870208.000000;0.000000
1687075029075227136.000000;0.000000
1687075029083665152.000000;0.000000
1687075029096159232.000000;0.000000
1687075029103932672.000000;0.000000
1687075029116902656.000000;0.000000
1687075029123913216.000000;0.000000
1687075029138985216.000000;0.000000
1687075029146476288.000000;0.000000
1687075029154526464.000000;0.000000
1687075029164316928.000000;0.000000
1687075029173305856.000000;0.000000
1687075029183850752.000000;0.000000
1687075029193403648.000000;0.000000
1687075029203809024.000000;0.000000
1687075029213328128.000000;0.000000
1687075029226133760.000000;0.000000
1687075029233298688.000000;0.000000
1687075029244032512.000000;0.000000
1687075029259083264.000000;0.000000
1687075029269819648.000000;0.000000
1687075029274129664.000000;0.000000
1687075029283980544.000000;0.000000
1687075029295561472.000000;0.000000
1687075029304420096.000000;0.000000
1687075029314816512.000000;0.000000
1687075029326665984.000000;0.000000
1687075029335223552.000000;0.000000
1687075029344501248.000000;0.000000
1687075029357233152.000000;0.000000
1687075029367668736.000000;0.000000
1687075029375609344.000000;0.000000
1687075029383398656.000000;0.000000
1687075029394291456.000000;0.000000
1687075029409759488.000000;0.000000
1687075029416357632.000000;0.000000
1687075029425245184.000000;0.000000
1687075029434817536.000000;0.000000
1687075029443998464.000000;0.000000
1687075029455323392.000000;0.000000
1687075029470486016.000000;0.000000
1687075029475739648.000000;0.000000
1687075029483481088.000000;0.000000
1687075029495528192.000000;0.000000
1687075029508557056.000000;0.000000
1687075029516066560.000000;0.000000
1687075029523445248.000000;0.000000
1687075029534613504.000000;0.000000
1687075029547995392.000000;0.000000
1687075029554637056.000000;0.000000
1687075029565085952.000000;0.000000
1687075029574685184.000000;0.000000
1687075029586455552.000000;0.000000
1687075029595921920.000000;0.000000
1687075029607303680.000000;0.000000
1687075029615492608.000000;0.000000
1687075029627479808.000000;0.000000
1687075029637698560.000000;0.000000
1687075029646683648.000000;0.000000
1687075029658353920.000000;0.000000
1687075029668365312.000000;0.000000
1687075029675803648.000000;0.000000
1687075029684424192.000000;0.000000
1687075029697070080.000000;0.000000
1687075029705944832.000000;0.000000
1687075029717490432.000000;0.000000
1687075029724689408.000000;0.000000
1687075029735842304.000000;0.000000
1687075029745998848.000000;0.000000
1687075029755790080.000000;0.000000
1687075029767266816.000000;0.000000
1687075029776077824.000000;0.000000
1687075029787229952.000000;0.000000
1687075029797923584.000000;0.000000
1687075029810372352.000000;0.000000
1687075029817969920.000000;0.000000
1687075029825275136.000000;0.000000
1687075029838716672.000000;0.000000
1687075029847107584.000000;0.000000
1687075029855513856.000000;0.000000
1687075029869987840.000000;0.000000
1687075029876241664.000000;0.000000
1687075029884799488.000000;0.000000
1687075029896059904.000000;0.000000
1687075029907647744.000000;0.000000
1687075029926735616.000000;0.000000
1687075029928865536.000000;0.000000
1687075029938119168.000000;0.000000
1687075029945094400.000000;0.000000
1687075029957786368.000000;0.000000
1687075029965411584.000000;0.000000
1687075029974796288.000000;0.000000
1687075029986003712.000000;0.000000
1687075029996497152.000000;0.000000
1687075030004097024.000000;0.000000
1687075030015600128.000000;0.000000
1687075030026914304.000000;0.000000
1687075030037986048.000000;0.000000
1687075030046686464.000000;0.000000
1687075030054403840.000000;0.000000
1687075030065621504.000000;0.000000
1687075030074212352.000000;0.000000
1687075030084180480.000000;0.000000
1687075030094693888.000000;0.000000
1687075030105409792.000000;0.000000
1687075030114691072.000000;0.000000
1687075030123761152.000000;0.000000
1687075030134742272.000000;0.000000
1687075030144171520.000000;0.000000
1687075030154211840.000000;0.000000
1687075030164645120.000000;0.000000
1687075030175640320.000000;0.000000
1687075030184065792.000000;0.000000
1687075030194196224.000000;0.000000
1687075030205648640.000000;0.000000
1687075030214769664.000000;0.000000
1687075030225110016.000000;0.000000
1687075030233709568.000000;0.000000
1687075030244063232.000000;0.000000
1687075030255401984.000000;0.000000
1687075030266999552.000000;0.000000
1687075030274613248.000000;0.000000
1687075030286055168.000000;0.000000
1687075030295247104.000000;0.000000
1687075030308077056.000000;0.000000
1687075030316302592.000000;0.000000
1687075030326898688.000000;0.000000
1687075030334920704.000000;0.000000
1687075030346070272.000000;0.000000
1687075030358630144.000000;0.000000
1687075030365879552.000000;0.000000
1687075030374799872.000000;0.000000
1687075030384543232.000000;0.000000
1687075030394155264.000000;0.000000
1687075030406001664.000000;0.000000
1687075030415548672.000000;0.000000
1687075030424407296.000000;0.000000
1687075030434929664.000000;0.000000
1687075030444809728.000000;0.000000
1687075030454432768.000000;0.000000
1687075030465560064.000000;0.000000
1687075030475003648.000000;0.000000
1687075030483771904.000000;0.000000
1687075030494148352.000000;0.000000
1687075030505512192.000000;0.000000
1687075030516249088.000000;0.000000
1687075030524989952.000000;0.000000
1687075030535003392.000000;0.000000
1687075030544753920.000000;0.000000
1687075030555727104.000000;0.000000
1687075030565426688.000000;0.000000
1687075030573596416.000000;0.000000
1687075030583930112.000000;0.000000
1687075030594888192.000000;0.000000
1687075030605794816.000000;0.000000
1687075030614738944.000000;0.000000
1687075030625017856.000000;0.000000
1687075030633975040.000000;0.000000
1687075030643931904.000000;0.000000
1687075030656058368.000000;0.000000
1687075030664386048.000000;0.000000
1687075030674129408.000000;0.000000
1687075030683784704.000000;0.000000
1687075030694361600.000000;0.000000
1687075030705712384.000000;0.000000
1687075030715415296.000000;0.000000
1687075030723947776.000000;0.000000
1687075030734246400.000000;0.000000
1687075030744575488.000000;0.000000
1687075030755236864.000000;0.000000
1687075030765743872.000000;0.000000
1687075030774693888.000000;0.000000
1687075030784550400.000000;0.000000
1687075030794897408.000000;0.000000
1687075030805072640.000000;0.000000
1687075030814690560.000000;0.000000
1687075030824969216.000000;0.000000
1687075030838088704.000000;0.000000
1687075030845040384.000000;0.000000
1687075030854994176.000000;0.000000
1687075030865698816.000000;0.000000
1687075030874282496.000000;0.000000
1687075030883554560.000000;0.000000
1687075030894566656.000000;0.000000
1687075030906024960.000000;0.000000
1687075030914245120.000000;0.000000
1687075030924235264.000000;0.000000
1687075030934560512.000000;0.000000
1687075030944551680.000000;0.000000
1687075030954198784.000000;0.000000
1687075030964905216.000000;0.000000
1687075030974634496.000000;0.000000
1687075030984254208.000000;0.000000
1687075030993742080.000000;0.000000
1687075031004877568.000000;0.000000
1687075031014068480.000000;0.000000
1687075031024894976.000000;0.000000
1687075031033830144.000000;0.000000
1687075031044615168.000000;0.000000
1687075031055945472.000000;0.000000
1687075031065572352.000000;0.000000
1687075031073705472.000000;0.000000
1687075031084013312.000000;0.000000
1687075031094826752.000000;0.000000
1687075031105420032.000000;0.000000
1687075031114960128.000000;0.000000
1687075031124768768.000000;0.000000
1687075031134538496.000000;0.000000
1687075031144914432.000000;0.000000
1687075031155283968.000000;0.000000
1687075031166140672.000000;0.000000
1687075031173862656.000000;0.000000
1687075031184967168.000000;0.000000
1687075031195238144.000000;0.000000
1687075031205137152.000000;0.000000
1687075031215698944.000000;0.000000
1687075031224331008.000000;0.000000
1687075031233806848.000000;0.000000
1687075031244762880.000000;0.000000
1687075031254184960.000000;0.000000
1687075031266688512.000000;0.000000
1687075031274773760.000000;0.000000
1687075031283622912.000000;0.000000
1687075031294925824.000000;0.000000
1687075031305712384.000000;0.000000
1687075031313997056.000000;0.000000
1687075031325300736.000000;0.000000
1687075031334712832.000000;0.000000
1687075031344613888.000000;0.000000
1687075031355244288.000000;0.000000
1687075031365518080.000000;0.000000
1687075031374674432.000000;0.000000
1687075031384467456.000000;0.000000
1687075031394847232.000000;0.000000
1687075031405593856.000000;0.000000
1687075031415021312.000000;0.000000
1687075031423991040.000000;0.000000
1687075031434065408.000000;0.000000
1687075031444097024.000000;0.000000
1687075031454964224.000000;0.000000
1687075031465632512.000000;0.000000
1687075031477755648.000000;0.000000
1687075031484155648.000000;0.000000
1687075031494213376.000000;0.000000
1687075031504916736.000000;0.000000
1687075031514584832.000000;0.000000
1687075031523858176.000000;0.000000
1687075031533757184.000000;0.000000
1687075031545207040.000000;0.000000
1687075031554453248.000000;0.000000
1687075031564273152.000000;0.000000
1687075031574589696.000000;0.000000
1687075031584370688.000000;0.000000
1687075031593674240.000000;0.000000
1687075031604449024.000000;0.000000
1687075031614524416.000000;0.000000
1687075031624360704.000000;0.000000
1687075031634119424.000000;0.000000
1687075031644057856.000000;0.000000
