# Timestamp(ns);gear_cmd;accelerator_cmd;brake_cmd
1687075028546132736.000000;1.000000;-5.263158;0.000000
1687075028548293632.000000;1.000000;-5.263158;0.000000
1687075028548782592.000000;1.000000;-5.263158;0.000000
1687075028549504000.000000;1.000000;-5.263158;0.000000
1687075028583198208.000000;1.000000;-5.263158;0.000000
1687075028623184384.000000;1.000000;-5.263158;0.000000
1687075028683275008.000000;1.000000;-5.263158;0.000000
1687075028723914496.000000;1.000000;-5.263158;0.000000
1687075028785500928.000000;1.000000;-5.263158;0.000000
1687075028844416256.000000;1.000000;-5.263158;0.000000
1687075028883384832.000000;1.000000;-5.263158;0.000000
1687075028944011520.000000;1.000000;-5.263158;0.000000
1687075028984301312.000000;1.000000;-5.263158;0.000000
1687075029044431360.000000;1.000000;-5.263158;0.000000
1687075029104088576.000000;1.000000;-5.263158;0.000000
1687075029145703424.000000;1.000000;-5.263158;0.000000
1687075029183930624.000000;1.000000;-5.263158;0.000000
1687075029244074752.000000;1.000000;-5.263158;0.000000
1687075029284051200.000000;1.000000;-5.263158;0.000000
1687075029326736128.000000;1.000000;-5.263158;0.000000
1687075029383442688.000000;1.000000;-5.263158;0.000000
1687075029444066816.000000;1.000000;-5.263158;0.000000
1687075029483547648.000000;1.000000;-5.263158;0.000000
1687075029543817216.000000;1.000000;-5.263158;0.000000
1687075029586518272.000000;1.000000;-5.263158;0.000000
1687075029646797568.000000;1.000000;-5.263158;0.000000
1687075029684479744.000000;1.000000;-5.263158;0.000000
1687075029746065920.000000;1.000000;-5.263158;0.000000
1687075029807456000.000000;1.000000;-5.263158;0.000000
1687075029827372032.000000;1.000000;-5.263158;0.000000
1687075029885645824.000000;1.000000;-5.263158;0.000000
1687075029943743232.000000;1.000000;-5.263158;0.000000
1687075029986060288.000000;1.000000;-5.263158;0.000000
1687075030046742272.000000;1.000000;-5.263158;0.000000
1687075030084224512.000000;1.000000;-5.263158;0.000000
1687075030144232448.000000;1.000000;-5.263158;0.000000
1687075030205751552.000000;1.000000;-5.263158;0.000000
